strap,landUnitValue,landUnitType,landClass,landClassDscr,GIS_sqft,GIS_acreage,status_cd
R0000383,2739.0,SF,1112.0,SINGLE FAM.RES.-LAND,2739,0.063,A 
R0000384,10401.0,SF,1112.0,SINGLE FAM.RES.-LAND,10401,0.239,A 
R0000390,6982.0,SF,1112.0,SINGLE FAM.RES.-LAND,6982,0.16,A 
R0000392,7423.0,SF,1112.0,SINGLE FAM.RES.-LAND,7423,0.17,A 
R0000395,7970.0,SF,1112.0,SINGLE FAM.RES.-LAND,7970,0.183,A 
R0000398,6180.0,SF,1112.0,SINGLE FAM.RES.-LAND,6180,0.142,A 
R0000404,11823.0,SF,1112.0,SINGLE FAM.RES.-LAND,11823,0.271,A 
R0000406,9347.0,SF,1112.0,SINGLE FAM.RES.-LAND,9347,0.215,A 
R0000407,6821.0,SF,1112.0,SINGLE FAM.RES.-LAND,6821,0.157,A 
R0000408,5337.0,SF,1112.0,SINGLE FAM.RES.-LAND,5337,0.123,A 
R0000410,6608.0,SF,1112.0,SINGLE FAM.RES.-LAND,6608,0.152,A 
R0000413,7282.0,SF,1112.0,SINGLE FAM.RES.-LAND,7282,0.167,A 
R0000414,8201.0,SF,1112.0,SINGLE FAM.RES.-LAND,8201,0.188,A 
R0000415,8350.0,SF,1112.0,SINGLE FAM.RES.-LAND,8350,0.192,A 
R0000420,6342.0,SF,1112.0,SINGLE FAM.RES.-LAND,6342,0.146,A 
R0000425,7179.0,SF,1112.0,SINGLE FAM.RES.-LAND,7179,0.165,A 
R0000427,8613.0,SF,1112.0,SINGLE FAM.RES.-LAND,8613,0.198,A 
R0000428,6946.0,SF,1112.0,SINGLE FAM.RES.-LAND,6946,0.159,A 
R0000431,8604.0,SF,1112.0,SINGLE FAM.RES.-LAND,8604,0.198,A 
R0000433,14670.0,SF,1112.0,SINGLE FAM.RES.-LAND,14670,0.337,A 
R0000435,10837.0,SF,1112.0,SINGLE FAM.RES.-LAND,10837,0.249,A 
R0000436,6606.0,SF,1112.0,SINGLE FAM.RES.-LAND,6606,0.152,A 
R0000443,6185.0,SF,1112.0,SINGLE FAM.RES.-LAND,6185,0.142,A 
R0000444,4595.0,SF,1112.0,SINGLE FAM.RES.-LAND,4595,0.105,A 
R0000445,11390.0,SF,1112.0,SINGLE FAM.RES.-LAND,11390,0.261,A 
R0000446,6278.0,SF,1112.0,SINGLE FAM.RES.-LAND,6278,0.144,A 
R0000448,12505.0,SF,1112.0,SINGLE FAM.RES.-LAND,12505,0.287,A 
R0000451,6969.0,SF,1112.0,SINGLE FAM.RES.-LAND,6969,0.16,A 
R0000454,2934.0,SF,1112.0,SINGLE FAM.RES.-LAND,2934,0.067,A 
R0000455,2844.0,SF,1112.0,SINGLE FAM.RES.-LAND,2844,0.065,A 
R0000456,5378.0,SF,1112.0,SINGLE FAM.RES.-LAND,5378,0.123,A 
R0000457,14260.0,SF,1112.0,SINGLE FAM.RES.-LAND,14260,0.327,A 
R0000458,10097.0,SF,1112.0,SINGLE FAM.RES.-LAND,10097,0.232,A 
R0000459,24561.0,SF,1112.0,SINGLE FAM.RES.-LAND,24561,0.564,A 
R0000462,7935.0,SF,1112.0,SINGLE FAM.RES.-LAND,7935,0.182,A 
R0000464,21478.0,SF,1112.0,SINGLE FAM.RES.-LAND,21478,0.493,A 
R0000467,8758.0,SF,1112.0,SINGLE FAM.RES.-LAND,8758,0.201,A 
R0000470,8945.0,SF,1112.0,SINGLE FAM.RES.-LAND,8945,0.205,A 
R0000471,7372.0,SF,1112.0,SINGLE FAM.RES.-LAND,7372,0.169,A 
R0000472,6563.0,SF,1112.0,SINGLE FAM.RES.-LAND,6563,0.151,A 
R0000474,12485.0,SF,1112.0,SINGLE FAM.RES.-LAND,12485,0.2866,A 
R0000475,7564.0,SF,1112.0,SINGLE FAM.RES.-LAND,7564,0.174,A 
R0000477,12124.0,SF,1112.0,SINGLE FAM.RES.-LAND,12124,0.278,A 
R0000479,4853.0,SF,1112.0,SINGLE FAM.RES.-LAND,4853,0.111,A 
R0000480,34803.0,SF,1112.0,SINGLE FAM.RES.-LAND,34803,0.799,A 
R0000481,9557.0,SF,1112.0,SINGLE FAM.RES.-LAND,9557,0.219,A 
R0000484,6247.0,SF,1112.0,SINGLE FAM.RES.-LAND,6247,0.143,A 
R0000486,18662.0,SF,1112.0,SINGLE FAM.RES.-LAND,18662,0.428,A 
R0000489,6734.0,SF,1112.0,SINGLE FAM.RES.-LAND,6734,0.155,A 
R0000495,3787.0,SF,1112.0,SINGLE FAM.RES.-LAND,3787,0.087,A 
R0000502,6193.0,SF,1112.0,SINGLE FAM.RES.-LAND,6193,0.142,A 
R0000504,10433.0,SF,1112.0,SINGLE FAM.RES.-LAND,10433,0.24,A 
R0000508,5053.0,SF,1112.0,SINGLE FAM.RES.-LAND,5053,0.116,A 
R0000511,6943.0,SF,1112.0,SINGLE FAM.RES.-LAND,6943,0.159,A 
R0000515,9200.0,SF,1112.0,SINGLE FAM.RES.-LAND,9200,0.211,A 
R0000517,7870.0,SF,1112.0,SINGLE FAM.RES.-LAND,7870,0.181,A 
R0000518,20630.0,SF,1112.0,SINGLE FAM.RES.-LAND,20630,0.474,A 
R0000523,7672.0,SF,1112.0,SINGLE FAM.RES.-LAND,7672,0.176,A 
R0000529,7386.0,SF,1112.0,SINGLE FAM.RES.-LAND,7386,0.17,A 
R0000531,7532.0,SF,1112.0,SINGLE FAM.RES.-LAND,7532,0.173,A 
R0000532,6225.0,SF,1112.0,SINGLE FAM.RES.-LAND,6225,0.143,A 
R0000534,6903.0,SF,1112.0,SINGLE FAM.RES.-LAND,6903,0.158,A 
R0000535,6313.0,SF,1112.0,SINGLE FAM.RES.-LAND,6313,0.145,A 
R0000538,3396.0,SF,1112.0,SINGLE FAM.RES.-LAND,3396,0.078,A 
R0000542,10156.0,SF,1112.0,SINGLE FAM.RES.-LAND,10161,0.233,A 
R0000543,7826.0,SF,1112.0,SINGLE FAM.RES.-LAND,7826,0.18,A 
R0000544,4468.0,SF,1112.0,SINGLE FAM.RES.-LAND,4468,0.103,A 
R0000547,7115.0,SF,1112.0,SINGLE FAM.RES.-LAND,7115,0.163,A 
R0000548,7139.0,SF,1112.0,SINGLE FAM.RES.-LAND,7139,0.164,A 
R0000549,6832.0,SF,1112.0,SINGLE FAM.RES.-LAND,6832,0.157,A 
R0000552,14088.0,SF,1112.0,SINGLE FAM.RES.-LAND,14088,0.323,A 
R0000554,7126.0,SF,1112.0,SINGLE FAM.RES.-LAND,7126,0.164,A 
R0000556,8083.0,SF,1112.0,SINGLE FAM.RES.-LAND,8083,0.186,A 
R0000561,6724.0,SF,1112.0,SINGLE FAM.RES.-LAND,6724,0.154,A 
R0000562,9457.0,SF,1112.0,SINGLE FAM.RES.-LAND,9457,0.217,A 
R0000563,34288.0,SF,1112.0,SINGLE FAM.RES.-LAND,34288,0.787,A 
R0000567,6404.0,SF,1112.0,SINGLE FAM.RES.-LAND,6404,0.147,A 
R0000570,23800.0,SF,1112.0,SINGLE FAM.RES.-LAND,23800,0.546,A 
R0000571,9643.0,SF,1112.0,SINGLE FAM.RES.-LAND,9643,0.221,A 
R0000572,3788.0,SF,1112.0,SINGLE FAM.RES.-LAND,3788,0.087,A 
R0000573,8141.0,SF,1112.0,SINGLE FAM.RES.-LAND,8141,0.187,A 
R0000574,6849.0,SF,1112.0,SINGLE FAM.RES.-LAND,6849,0.157,A 
R0000576,6204.0,SF,1112.0,SINGLE FAM.RES.-LAND,6204,0.142,A 
R0000578,7386.0,SF,1112.0,SINGLE FAM.RES.-LAND,7386,0.17,A 
R0000579,5989.0,SF,1112.0,SINGLE FAM.RES.-LAND,5989,0.137,A 
R0000581,6843.0,SF,1112.0,SINGLE FAM.RES.-LAND,6843,0.157,A 
R0000582,6257.0,SF,1112.0,SINGLE FAM.RES.-LAND,6257,0.144,A 
R0000583,14391.0,SF,1112.0,SINGLE FAM.RES.-LAND,14391,0.33,A 
R0000586,6536.0,SF,1112.0,SINGLE FAM.RES.-LAND,6536,0.15,A 
R0000587,5202.0,SF,1112.0,SINGLE FAM.RES.-LAND,5202,0.119,A 
R0000592,9199.0,SF,1112.0,SINGLE FAM.RES.-LAND,9199,0.211,A 
R0000597,6946.0,SF,1112.0,SINGLE FAM.RES.-LAND,6946,0.159,A 
R0000598,5211.0,SF,1112.0,SINGLE FAM.RES.-LAND,5211,0.12,A 
R0000599,6250.0,SF,1112.0,SINGLE FAM.RES.-LAND,6348,0.146,A 
R0000600,8916.0,SF,1112.0,SINGLE FAM.RES.-LAND,8916,0.205,A 
