strap,tax_yr,bldAcutalVal,LandAcutalVal,xfActualVal,totalActualVal,landAssessedVal,bldAssessedVal,xfAssessedVal,totalAssessedVal,status_cd
R0000472,2021,107600,582500,,690100,41649.0,7693.0,,49342,A 
R0000474,2021,328200,1556400,,1884600,111283.0,23466.0,,134749,A 
R0000475,2021,71170,640530,,711700,45798.0,5089.0,,50887,A 
R0000477,2021,142520,1282680,,1425200,91712.0,10190.0,,101902,A 
R0000479,2021,269500,716900,,986400,51258.0,19269.0,,70527,A 
R0000480,2021,3865900,931500,,4797400,66602.0,276412.0,,343014,A 
R0000481,2021,133400,969200,,1102600,69298.0,9538.0,,78836,A 
R0000484,2021,102550,922950,,1025500,65991.0,7332.0,,73323,A 
R0000486,2021,152890,1376010,,1528900,98385.0,10932.0,,109317,A 
R0000489,2021,235800,1019100,,1254900,72866.0,16860.0,,89726,A 
R0000495,2021,327300,515100,,842400,36830.0,23402.0,,60232,A 
R0000502,2021,481600,658800,,1140400,47104.0,34434.0,,81538,A 
R0000504,2021,455300,452000,,907300,32318.0,32554.0,,64872,A 
R0000508,2021,346640,882800,,1229440,63120.0,24785.0,,87905,A 
R0000511,2021,162600,322000,,484600,23023.0,11626.0,,34649,A 
R0000515,2021,986500,802900,,1789400,57407.0,70535.0,,127942,A 
R0000517,2021,599200,742600,,1341800,53096.0,42843.0,,95939,A 
R0000518,2021,1580500,1718400,,3298900,122866.0,113006.0,,235872,A 
R0000523,2021,1096800,830800,,1927600,59402.0,78421.0,,137823,A 
R0000529,2021,165900,641400,,807300,45860.0,11862.0,,57722,A 
R0000531,2021,289200,647700,,936900,46311.0,20678.0,,66989,A 
R0000532,2021,189100,588800,,777900,42099.0,13521.0,,55620,A 
R0000534,2021,389100,362800,,751900,25940.0,27821.0,,53761,A 
R0000535,2021,270200,347000,,617200,24811.0,19319.0,,44130,A 
R0000538,2021,405100,509200,,914300,36408.0,28965.0,,65373,A 
R0000542,2021,281600,724600,,1006200,51809.0,20134.0,,71943,A 
R0000543,2021,619600,660300,,1279900,47211.0,44301.0,,91512,A 
R0000544,2021,349200,607400,,956600,43429.0,24968.0,,68397,A 
R0000547,2021,348100,368300,,716400,26333.0,24889.0,,51222,A 
R0000548,2021,74620,671580,,746200,48018.0,5335.0,,53353,A 
R0000549,2021,278920,691900,,970820,49471.0,19943.0,,69414,A 
R0000552,2021,518600,957200,,1475800,68440.0,37080.0,,105520,A 
R0000554,2021,277700,421500,,699200,30137.0,19856.0,,49993,A 
R0000556,2021,74890,674010,,748900,48192.0,5355.0,,53547,A 
R0000561,2021,365900,524700,,890600,37516.0,26162.0,,63678,A 
R0000562,2021,168500,1354500,,1523000,96847.0,12048.0,,108895,A 
R0000563,2021,949650,924600,,1874250,66109.0,67900.0,,134009,A 
R0000567,2021,346100,669900,,1016000,47898.0,24746.0,,72644,A 
R0000570,2021,139010,1251090,,1390100,89453.0,9939.0,,99392,A 
R0000571,2021,565800,1317600,,1883400,94208.0,40455.0,,134663,A 
R0000572,2021,69320,623880,,693200,44607.0,4956.0,,49563,A 
